epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3608,1.67463,2.02809,1.65164,0.53935,0.61363,0.54901,0.28037,1.6675,0.91979,1.10025,0.00332026,0.00332026,0.00332026
2,96.0306,1.3637,1.30607,1.3786,0.7502,0.70832,0.76323,0.44037,1.29506,0.89812,1.01326,0.00658772,0.00658772,0.00658772
3,142.999,1.37322,1.28376,1.37721,0.52114,0.54889,0.5532,0.26029,1.81538,1.25684,1.18587,0.00978919,0.00978919,0.00978919
4,189.352,1.35756,1.26212,1.3761,0.67877,0.57872,0.61488,0.222,2.24419,1.2513,1.31791,0.009703,0.009703,0.009703
5,235.715,1.29742,1.18183,1.34064,0.76443,0.72376,0.71921,0.30083,2.00344,0.88758,1.21366,0.009604,0.009604,0.009604
6,282.419,1.25992,1.12242,1.31993,0.88446,0.82254,0.85526,0.44032,1.48885,0.71134,1.05902,0.009505,0.009505,0.009505
7,328.067,1.22727,1.08162,1.30154,0.89343,0.84801,0.87991,0.4414,1.57451,0.67173,1.04836,0.009406,0.009406,0.009406
8,373.913,1.20112,1.05007,1.28521,0.86387,0.81076,0.82059,0.40417,1.66293,0.72907,1.08613,0.009307,0.009307,0.009307
9,420.273,1.18587,1.0329,1.27865,0.88278,0.86519,0.87598,0.43065,1.61704,0.68388,1.05802,0.009208,0.009208,0.009208
10,465.951,1.1685,1.00932,1.26828,0.91004,0.89035,0.91404,0.5174,1.3472,0.59016,0.99519,0.009109,0.009109,0.009109
11,513.366,1.14711,0.99177,1.25783,0.9301,0.9075,0.93832,0.56851,1.23696,0.57183,0.95032,0.00901,0.00901,0.00901
12,559.264,1.13934,0.97218,1.24979,0.91194,0.88457,0.91409,0.48351,1.4808,0.6337,1.01924,0.008911,0.008911,0.008911
13,605.238,1.12951,0.96651,1.24597,0.92225,0.9034,0.92592,0.53728,1.34503,0.58458,0.97074,0.008812,0.008812,0.008812
14,652.006,1.11628,0.95555,1.24016,0.93138,0.90998,0.93736,0.56844,1.25054,0.55888,0.97064,0.008713,0.008713,0.008713
15,697.821,1.11239,0.9475,1.23877,0.92217,0.897,0.92014,0.53442,1.31164,0.55898,0.96702,0.008614,0.008614,0.008614
16,743.583,1.1072,0.93662,1.23502,0.93258,0.92047,0.94521,0.54901,1.32103,0.57736,0.97602,0.008515,0.008515,0.008515
17,790.111,1.10146,0.93495,1.23448,0.92668,0.9174,0.9481,0.57296,1.21248,0.5558,0.94317,0.008416,0.008416,0.008416
18,835.906,1.09306,0.92137,1.22778,0.9379,0.91989,0.94493,0.53016,1.42405,0.59118,0.98888,0.008317,0.008317,0.008317
