epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2756,1.03514,0.68683,1.16717,0.95425,0.94237,0.95058,0.59635,1.21285,0.54904,0.94504,0.000298849,0.000298849,0.000298849
2,80.2758,0.98888,0.6942,1.10147,0.95831,0.94464,0.94228,0.54199,1.24487,0.64039,0.94728,0.000595891,0.000595891,0.000595891
3,120.826,1.04641,0.74688,1.13005,0.85251,0.83551,0.81553,0.37743,1.64151,1.07768,1.0436,0.000886933,0.000886933,0.000886933
4,159.969,1.07508,0.76667,1.14433,0.93783,0.90514,0.91386,0.53423,1.20885,0.78858,0.94413,0.000882003,0.000882003,0.000882003
5,200.38,1.04307,0.74478,1.12542,0.85537,0.83448,0.84991,0.42427,1.46538,0.77859,1.03071,0.000873004,0.000873004,0.000873004
6,239.949,1.02669,0.72952,1.11688,0.91439,0.91866,0.94375,0.56083,1.25809,0.64325,0.97517,0.000864004,0.000864004,0.000864004
7,280.287,1.01477,0.7192,1.11213,0.90941,0.89587,0.90123,0.50157,1.32147,0.66439,0.99379,0.000855005,0.000855005,0.000855005
8,320.182,1.0002,0.70722,1.10525,0.91247,0.91377,0.91946,0.55273,1.22311,0.6102,0.95307,0.000846006,0.000846006,0.000846006
9,360.333,0.9821,0.69204,1.09813,0.95793,0.93838,0.96006,0.59603,1.15119,0.55703,0.94009,0.000837007,0.000837007,0.000837007
10,400.353,0.96817,0.68094,1.09018,0.93884,0.93697,0.93197,0.5467,1.27742,0.60299,0.94885,0.000828008,0.000828008,0.000828008
11,440.669,0.95854,0.67752,1.0878,0.91808,0.92286,0.91819,0.51562,1.30751,0.63308,0.96443,0.000819009,0.000819009,0.000819009
12,480.349,0.94818,0.6661,1.08089,0.94171,0.92929,0.95404,0.60925,1.14905,0.54498,0.93318,0.00081001,0.00081001,0.00081001
13,520.454,0.94275,0.65397,1.07591,0.92483,0.93444,0.94093,0.63699,1.08002,0.52932,0.91419,0.000801011,0.000801011,0.000801011
14,560.136,0.93037,0.64956,1.07261,0.93004,0.92177,0.93189,0.59001,1.11197,0.55302,0.91458,0.000792012,0.000792012,0.000792012
15,600.52,0.9281,0.64672,1.07237,0.92766,0.93535,0.94288,0.61963,1.05607,0.52925,0.90634,0.000783013,0.000783013,0.000783013
16,639.6,0.91586,0.63939,1.06828,0.94384,0.94523,0.95083,0.61493,1.09584,0.52569,0.90214,0.000774013,0.000774013,0.000774013
17,679.4,0.91392,0.64263,1.06741,0.89812,0.92741,0.91958,0.57952,1.19434,0.58515,0.93741,0.000765014,0.000765014,0.000765014
18,718.36,0.90473,0.62944,1.06291,0.9438,0.93586,0.9446,0.59085,1.24674,0.54736,0.97185,0.000756015,0.000756015,0.000756015
19,758.771,0.90145,0.62423,1.05984,0.92593,0.93177,0.93184,0.59058,1.12323,0.54502,0.92175,0.000747016,0.000747016,0.000747016
20,798.206,0.89071,0.61947,1.0556,0.95766,0.94618,0.95508,0.62045,1.10833,0.49084,0.91353,0.000738017,0.000738017,0.000738017
21,838.736,0.88957,0.62221,1.05406,0.94055,0.93041,0.94299,0.57556,1.19805,0.5147,0.91154,0.000729018,0.000729018,0.000729018
22,878.607,0.88768,0.61748,1.05446,0.91922,0.93395,0.93179,0.58722,1.22386,0.58691,0.98188,0.000720019,0.000720019,0.000720019
23,918.854,0.88045,0.61187,1.05226,0.92487,0.92047,0.94761,0.60314,1.13831,0.53639,0.9214,0.00071102,0.00071102,0.00071102
