epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2638,0.84313,0.44401,0.92817,0.96213,0.94887,0.95532,0.60028,1.17334,0.53285,0.90217,0.00330729,0.00330729,0.00330729
2,82.2123,0.78851,0.41848,0.90778,0.96595,0.96445,0.97744,0.73862,0.82927,0.44164,0.85658,0.00657488,0.00657488,0.00657488
3,124.943,0.81743,0.41834,0.91451,0.9689,0.96083,0.97169,0.70661,0.92128,0.45905,0.88142,0.00977647,0.00977647,0.00977647
4,166.817,0.81238,0.41406,0.91441,0.96361,0.95134,0.95661,0.67992,0.91907,0.45931,0.87039,0.009703,0.009703,0.009703
5,207.842,0.78626,0.40301,0.90988,0.94304,0.95551,0.96011,0.72111,0.85549,0.43197,0.86013,0.009604,0.009604,0.009604
6,249.071,0.77191,0.39414,0.90668,0.94618,0.95438,0.96247,0.65619,1.06849,0.47431,0.88902,0.009505,0.009505,0.009505
7,289.658,0.77037,0.38964,0.90743,0.96117,0.95134,0.95798,0.70315,0.90537,0.43391,0.87447,0.009406,0.009406,0.009406
8,330.43,0.75684,0.38457,0.90465,0.95692,0.95096,0.95439,0.73249,0.79237,0.42375,0.85075,0.009307,0.009307,0.009307
9,372.631,0.75231,0.38275,0.90476,0.93123,0.90814,0.92395,0.57728,1.1099,0.53284,0.91602,0.009208,0.009208,0.009208
10,414.185,0.76151,0.38443,0.90839,0.94612,0.96093,0.97529,0.75943,0.76299,0.39384,0.84917,0.009109,0.009109,0.009109
11,455.786,0.75101,0.38213,0.90629,0.96434,0.95628,0.96832,0.72928,0.81946,0.39991,0.84961,0.00901,0.00901,0.00901
12,497.609,0.75209,0.38045,0.90621,0.94454,0.96312,0.96302,0.69558,0.90467,0.44,0.8601,0.008911,0.008911,0.008911
13,538.6,0.75359,0.38002,0.90699,0.94062,0.96826,0.97605,0.74108,0.74994,0.38436,0.83843,0.008812,0.008812,0.008812
14,580.451,0.75453,0.3807,0.90764,0.95397,0.95551,0.96146,0.68463,0.97329,0.44717,0.87736,0.008713,0.008713,0.008713
15,621.239,0.74886,0.37942,0.90626,0.96444,0.95875,0.95594,0.72435,0.79753,0.43237,0.84799,0.008614,0.008614,0.008614
16,662.458,0.74581,0.37826,0.90673,0.96343,0.94891,0.95318,0.64788,0.98782,0.45681,0.87621,0.008515,0.008515,0.008515
17,703.479,0.74744,0.37646,0.90992,0.94665,0.96113,0.96502,0.73265,0.78665,0.38979,0.84877,0.008416,0.008416,0.008416
18,744.2,0.74313,0.37495,0.9076,0.9674,0.95615,0.96708,0.72066,0.84618,0.40123,0.86048,0.008317,0.008317,0.008317
19,784.986,0.7404,0.37336,0.90737,0.96699,0.9486,0.96664,0.74882,0.77525,0.4027,0.85381,0.008218,0.008218,0.008218
20,826.76,0.73823,0.37147,0.90671,0.96215,0.96085,0.9653,0.74428,0.73178,0.4075,0.83913,0.008119,0.008119,0.008119
